Species,ID,B1,B2,betweenness,cherries,closeness,colless,DelW,I2,ILnumber,kurtosis,maxHeight,maxWidth,pitchforks,sackin,skewness,stairs1,stairs2,treeSize
Listeria,7404,18.6044011544012,4.321044921875,2063,11,0.00209643605870021,135,4,24.0050082767474,19,8.99198377869445,13,14,7,287,2.60093035816381,0.7,0.533078026140526,41
Listeria,7450,20.836544011544,3.17236328125,2439,11,0.00245098039215686,189,6,24.8074074074074,22,5.84401899942637,12,18,10,361,1.99562425968442,0.697674418604651,0.588084382327594,44
Listeria,7495,48.2421356421356,5.1943359375,12039,29,7.17360114777618e-4,375,12,55.3039973366142,42,6.17920151556547,13,28,15,839,2.10167031338738,0.696969696969697,0.568621209625994,100
Listeria,7595,41.1843004218004,4.54237365722656,8127,25,7.8003120124805e-4,518,4,45.8939996979659,35,5.75307444386968,17,14,13,878,1.85973334755224,0.642857142857143,0.571715973224196,85
Listeria,7698,21.2289682539683,4.435546875,2011,13,0.00236406619385343,104,4,19.7768983957219,15,9.89209178215318,10,16,7,264,2.81388585988694,0.625,0.630204112121682,41
Listeria,7738,32.1377344877345,4.93017578125,5061,19,0.00142450142450142,188,6,33.2588123867127,25,5.445684591809,12,20,13,460,1.54712734281798,0.67741935483871,0.609585253456221,63
Listeria,7808,42.3583444333444,4.43670654296875,10449,26,8.05152979066023e-4,429,10,52.2912148221038,40,17.7239262357675,15,24,11,831,3.6107162508949,0.692307692307692,0.539975255128523,92
Listeria,7906,31.8655122655123,4.09619140625,4735,20,0.00146627565982405,217,8,30.5359530485291,22,5.39482736654089,12,22,10,479,1.47061383379887,0.655737704918033,0.610379190011548,62
Listeria,7967,38.1897781741822,4.79769849777222,7565,25,6.59195781147001e-4,497,8,44.8200712014994,32,12.2780269089722,22,18,8,841,2.90947700223952,0.62962962962963,0.540162759290016,82
Listeria,8108,45.7551337551338,5.44134521484375,10367,28,8.49617672047579e-4,308,8,45.0575036552065,35,6.54613260985198,15,24,12,744,1.555958985924,0.611111111111111,0.621393097567753,91
Listeria,8222,18.886544011544,4.10888671875,1637,12,0.00292397660818713,104,4,17.1155677655678,13,19.5203505835541,12,16,4,240,4.13750980419389,0.611111111111111,0.622169362273529,37
Listeria,8330,43.1390984015984,4.55955505371094,9473,26,7.18390804597701e-4,443,6,50.0203163941919,39,13.1147297338776,17,20,14,861,2.84079096318748,0.7,0.564735012895838,91
Listeria,8422,18.2674603174603,4.4560546875,1987,10,0.00203665987780041,126,6,24.6668057432763,22,6.1530892541533,11,14,5,290,1.88469039748629,0.658536585365854,0.534692522629956,42
Listeria,8464,16.5294011544012,3.13720703125,1521,9,0.00291545189504373,161,4,22.1009676597912,18,8.34946197966398,12,10,8,287,2.50383178436586,0.714285714285714,0.537094624563112,36
Listeria,8499,35.9805305805306,4.56143188476562,6093,23,0.00109289617486339,317,6,36.1716869549076,25,13.2702203968538,16,22,11,609,2.93472363568759,0.657142857142857,0.596781682501914,71
Listeria,8574,35.1348956598957,4.71881103515625,5301,22,0.00109289617486339,317,6,33.4400133602308,24,9.95715751940971,15,18,10,589,2.4861343589254,0.611940298507463,0.607152863282191,68
Listeria,8754,44.9530445861328,2.91860198974609,9039,29,8.22368421052632e-4,646,4,44.8437004989046,29,22.8922840173173,18,18,16,992,3.80813517894982,0.627906976744186,0.588040239853082,87
Listeria,8853,25.8384920634921,4.4873046875,2789,16,0.00171821305841924,129,6,22.312380952381,18,7.70868963316677,11,18,7,349,1.93957668512489,0.612244897959184,0.650409736013108,50
Listeria,8902,29.3040043290043,4.706298828125,5117,17,0.00111482720178372,239,4,39.0977163993498,31,4.72068762562785,13,16,10,515,1.44404483696863,0.703125,0.524593079510359,65
