"","stats","clusters","values"
"1","sackin","cluster1",1.11632163852045
"2","sackin","cluster1",0.869848106418595
"3","sackin","cluster1",1.14779886856308
"4","sackin","cluster1",1.1552858926919
"5","sackin","cluster1",1.04804521082753
"6","sackin","cluster1",1.30424878531597
"7","sackin","cluster1",1.24784890481391
"8","sackin","cluster1",1.10284433398372
"9","sackin","cluster1",1.2508282969982
"10","sackin","cluster1",1.31824417009602
"11","sackin","cluster1",1.18330220627974
"12","sackin","cluster1",1.16326530612245
"13","sackin","cluster1",1.10273680224558
"14","sackin","cluster1",1.20744811078292
"15","sackin","cluster1",1.10648148148148
"16","sackin","cluster1",1.34899918624529
"17","sackin","cluster1",1.06350880310224
"18","sackin","cluster1",1.22005459022332
"19","sackin","cluster1",1.333
"20","sackin","cluster1",1.40342570679807
"21","sackin","cluster1",1.91250517543636
"22","sackin","cluster1",0.956268221574344
"23","sackin","cluster1",1.00653034753254
"24","sackin","cluster1",1.17147123917268
"25","sackin","cluster1",1.01620490209543
"26","sackin","cluster1",1.02790338162298
"27","sackin","cluster1",1.0831251496333
"28","sackin","cluster1",1.04699177487942
"29","sackin","cluster1",1.46752313189986
"30","sackin","cluster1",1.12586287559234
"31","sackin","cluster1",1.0654278925954
"32","sackin","cluster1",1.25308225114654
"33","sackin","cluster1",2.03758710047649
"34","sackin","cluster1",1.42114542569987
"35","sackin","cluster1",1.12656141643499
"36","sackin","cluster1",0.990898783970962
"37","sackin","cluster1",1.1706952985898
"38","sackin","cluster1",1.20439693588573
"39","sackin","cluster1",1.59048332066334
"40","sackin","cluster1",1.54355237548327
"41","sackin","cluster1",0.997393622058825
"42","sackin","cluster1",1.09110938532827
"43","sackin","cluster1",1.13824653921631
"44","sackin","cluster1",1.34941442480895
"45","sackin","cluster1",1.35962405717404
"46","sackin","cluster1",0.942435394915906
"47","sackin","cluster1",0.932
"48","sackin","cluster1",1.27888159872274
"49","sackin","cluster1",1.31588843393845
"50","sackin","cluster1",1.37324881320614
"51","sackin","cluster1",1.13500415704383
"52","sackin","cluster1",0.958984375
"53","sackin","cluster1",1.833
"54","sackin","cluster1",1.07296742405202
"55","sackin","cluster1",1.53219111482734
"56","sackin","cluster1",1.46759877141069
"57","sackin","cluster1",1.29201210006592
"58","sackin","cluster1",1.36895872837716
"59","sackin","cluster1",1.245
"60","sackin","cluster1",1.28020647581282
"61","sackin","cluster1",1.01427561616263
"62","sackin","cluster1",1.82750708394594
"63","sackin","cluster1",0.890247313656294
"64","sackin","cluster1",1.14904851942814
"65","sackin","cluster1",1.30143678397897
"66","sackin","cluster1",1.13675788417459
"67","sackin","cluster1",0.913546879604198
"68","sackin","cluster1",1.19869919979636
"69","sackin","cluster1",0.98117840053373
"70","sackin","cluster1",0.857059251122096
"71","sackin","cluster1",1.10594471047332
"72","sackin","cluster1",1.36607512531168
"73","sackin","cluster1",1.3335336341288
"74","sackin","cluster1",1.07690589113715
"75","sackin","cluster1",1.38004970812402
"76","sackin","cluster1",0.897
"77","sackin","cluster1",1.07477994797973
"78","sackin","cluster1",1.27329313379831
"79","sackin","cluster1",1.16829679257012
"80","sackin","cluster1",1.07055681208121
"81","sackin","cluster1",1.2273043089422
"82","sackin","cluster1",1.23631528347198
"83","sackin","cluster1",1.02682072983249
"84","sackin","cluster1",1.17344442113167
"85","sackin","cluster1",1.19839534666596
"86","sackin","cluster1",1.23876702456506
"87","sackin","cluster1",1.15967934288374
"88","sackin","cluster1",1.25788586740953
"89","sackin","cluster1",1.23633993834572
"90","sackin","cluster1",1.40851702569876
"91","sackin","cluster1",0.962733444336699
"92","sackin","cluster1",1.05843729744189
"93","sackin","cluster1",1.60400093019551
"94","sackin","cluster1",1.14741169817539
"95","sackin","cluster1",1.16150392968025
"96","sackin","cluster1",1.40586329127079
"97","sackin","cluster1",1.13329290740202
"98","sackin","cluster1",1.46517726301309
"99","sackin","cluster1",1.27912681834359
"100","sackin","cluster1",1.23537633728909
"101","sackin","cluster1",1.43277726545052
"102","sackin","cluster1",0.910386727153613
"103","sackin","cluster1",1.22783613577498
"104","sackin","cluster1",1.20049429691577
"105","sackin","cluster1",1.41719963678221
"106","sackin","cluster1",1.13395230334033
"107","sackin","cluster1",1.2478827045384
"108","sackin","cluster1",0.924554183813443
"109","sackin","cluster1",1.23914682570876
"110","sackin","cluster1",1.09071206605075
"111","sackin","cluster1",1.16187048865355
"112","sackin","cluster1",1.23601019820955
"113","sackin","cluster1",1.1859278724203
"114","sackin","cluster1",1.20174923836516
"115","sackin","cluster1",1.23764502775893
"116","sackin","cluster1",1.68857304250436
"117","sackin","cluster1",1.12057683140223
"118","sackin","cluster1",1.2112989336726
"119","sackin","cluster1",1.32370389438122
"120","sackin","cluster1",1.08739108364697
"121","sackin","cluster1",0.888
"122","sackin","cluster1",1.08805027585508
"123","sackin","cluster1",1.28428108041757
"124","sackin","cluster1",0.989762410697451
"125","sackin","cluster1",1.4588914830082
"126","sackin","cluster2",0.936077236446113
"127","sackin","cluster2",0.889306188047545
"128","sackin","cluster2",1.2935023842795
"129","sackin","cluster2",0.913383792010882
"130","sackin","cluster2",0.98828125
"131","sackin","cluster2",0.860656384122031
"132","sackin","cluster2",0.879
"133","sackin","cluster2",1.03998354386336
"134","sackin","cluster2",0.933964501762362
"135","sackin","cluster2",0.867515263955718
"136","sackin","cluster2",0.897950994373491
"137","sackin","cluster2",1.21939842878088
"138","sackin","cluster2",1.28464649827228
"139","sackin","cluster2",1.04126619752955
"140","sackin","cluster2",1.05305978121426
"141","sackin","cluster2",1.51203070542171
"142","sackin","cluster2",1.5188653659887
"143","sackin","cluster2",1.03515625
"144","sackin","cluster2",1.04799127586336
"145","sackin","cluster2",1.05884287001551
"146","sackin","cluster2",0.91423459444845
"147","sackin","cluster2",1.11840170261899
"148","sackin","cluster2",1.07197388027881
"149","sackin","cluster2",0.944285522269445
"150","sackin","cluster2",0.887750753123672
"151","sackin","cluster2",0.832860465304272
"152","sackin","cluster2",1.03881758296194
"153","sackin","cluster2",0.841
"154","sackin","cluster2",1.17406461010309
"155","sackin","cluster2",0.906484308253313
"156","sackin","cluster2",1.02105494048526
"157","sackin","cluster2",0.828260217146219
"158","sackin","cluster2",0.899750448864054
"159","sackin","cluster2",1.00925774234146
"160","sackin","cluster2",0.862752734479796
"161","sackin","cluster2",0.953346385067417
"162","sackin","cluster2",0.933781941212117
"163","sackin","cluster2",1.52127765851133
"164","sackin","cluster2",1.18930041152263
"165","sackin","cluster2",1.37916745368455
"166","sackin","cluster2",1.10273680224558
"167","sackin","cluster2",0.906864041056446
"168","sackin","cluster2",0.960016568992361
"169","sackin","cluster2",0.899860378973551
"170","sackin","cluster2",1.52402304447939
"171","sackin","cluster2",1.04621112204926
"172","sackin","cluster2",1.31546671371689
"173","sackin","cluster2",1.16579849784546
"174","sackin","cluster2",1.15351404987836
"175","sackin","cluster2",0.857
"176","sackin","cluster2",1.02737198893164
"177","sackin","cluster2",1.00238663823941
"178","sackin","cluster2",1.00120642177035
