"","tree","Location","Freq","cluster"
"112","Escherichia_coli_Shigella36250.png","Sri Lanka",1,"cluster1"
"113","Escherichia_coli_Shigella36250.png","Thailand",1,"cluster1"
"114","Escherichia_coli_Shigella36250.png","Turkey",1,"cluster1"
"115","Escherichia_coli_Shigella36250.png","United Kingdom",13,"cluster1"
"116","Escherichia_coli_Shigella36250.png","USA",26,"cluster1"
"117","Escherichia_coli_Shigella36565.png","Argentina",1,"cluster1"
"118","Escherichia_coli_Shigella36565.png","Australia",3,"cluster1"
"119","Escherichia_coli_Shigella36565.png","France",3,"cluster1"
"120","Escherichia_coli_Shigella36565.png","Germany",6,"cluster1"
"121","Escherichia_coli_Shigella36565.png","India",1,"cluster1"
"122","Escherichia_coli_Shigella36565.png","Italy",3,"cluster1"
"123","Escherichia_coli_Shigella36565.png","Lebanon",4,"cluster1"
"124","Escherichia_coli_Shigella36565.png","Mexico",1,"cluster1"
"125","Escherichia_coli_Shigella36565.png","Netherlands",10,"cluster1"
"126","Escherichia_coli_Shigella36565.png","Norway",1,"cluster1"
"127","Escherichia_coli_Shigella36565.png","NULL",21,"cluster1"
"128","Escherichia_coli_Shigella36565.png","Russia",1,"cluster1"
"129","Escherichia_coli_Shigella36565.png","Saudi Arabia",5,"cluster1"
"130","Escherichia_coli_Shigella36565.png","Singapore",8,"cluster1"
"131","Escherichia_coli_Shigella36565.png","South Africa",1,"cluster1"
"132","Escherichia_coli_Shigella36565.png","Spain",1,"cluster1"
"133","Escherichia_coli_Shigella36565.png","Thailand",2,"cluster1"
"134","Escherichia_coli_Shigella36565.png","Togo",1,"cluster1"
"135","Escherichia_coli_Shigella36565.png","Turkey",2,"cluster1"
"136","Escherichia_coli_Shigella36565.png","United Kingdom",4,"cluster1"
"137","Escherichia_coli_Shigella36565.png","USA",21,"cluster1"
"138","Escherichia_coli_Shigella37077.png","Australia",1,"cluster1"
"139","Escherichia_coli_Shigella37077.png","Canada",1,"cluster1"
"140","Escherichia_coli_Shigella37077.png","China",1,"cluster1"
"141","Escherichia_coli_Shigella37077.png","Germany",2,"cluster1"
"142","Escherichia_coli_Shigella37077.png","Netherlands",2,"cluster1"
"143","Escherichia_coli_Shigella37077.png","NULL",17,"cluster1"
"144","Escherichia_coli_Shigella37077.png","Singapore",1,"cluster1"
"145","Escherichia_coli_Shigella37077.png","South Africa",1,"cluster1"
"146","Escherichia_coli_Shigella37077.png","Spain",1,"cluster1"
"147","Escherichia_coli_Shigella37077.png","Tanzania",3,"cluster1"
"148","Escherichia_coli_Shigella37077.png","United Kingdom",6,"cluster1"
"149","Escherichia_coli_Shigella37077.png","USA",6,"cluster1"
"150","Escherichia_coli_Shigella37236.png","China",2,"cluster1"
"151","Escherichia_coli_Shigella37236.png","France",1,"cluster1"
"152","Escherichia_coli_Shigella37236.png","Germany",1,"cluster1"
"153","Escherichia_coli_Shigella37236.png","Netherlands",1,"cluster1"
"154","Escherichia_coli_Shigella37236.png","NULL",16,"cluster1"
"155","Escherichia_coli_Shigella37236.png","Spain",1,"cluster1"
"156","Escherichia_coli_Shigella37236.png","United Kingdom",4,"cluster1"
"157","Escherichia_coli_Shigella37236.png","USA",11,"cluster1"
"158","Escherichia_coli_Shigella38965.png","Hungary",1,"cluster1"
"159","Escherichia_coli_Shigella38965.png","Norway",1,"cluster1"
"160","Escherichia_coli_Shigella38965.png","NULL",5,"cluster1"
"161","Escherichia_coli_Shigella38965.png","Spain",1,"cluster1"
"162","Escherichia_coli_Shigella38965.png","Tanzania",1,"cluster1"
"163","Escherichia_coli_Shigella38965.png","United Kingdom",2,"cluster1"
"164","Escherichia_coli_Shigella38965.png","USA",38,"cluster1"
"165","Escherichia_coli_Shigella39649.png","Canada",2,"cluster1"
"166","Escherichia_coli_Shigella39649.png","France",3,"cluster1"
"167","Escherichia_coli_Shigella39649.png","Germany",1,"cluster1"
"168","Escherichia_coli_Shigella39649.png","Greece",1,"cluster1"
"169","Escherichia_coli_Shigella39649.png","Japan",2,"cluster1"
"170","Escherichia_coli_Shigella39649.png","Netherlands",3,"cluster1"
"171","Escherichia_coli_Shigella39649.png","NULL",10,"cluster1"
"172","Escherichia_coli_Shigella39649.png","Slovakia",1,"cluster1"
"173","Escherichia_coli_Shigella39649.png","Sweden",2,"cluster1"
"174","Escherichia_coli_Shigella39649.png","United Kingdom",4,"cluster1"
"175","Escherichia_coli_Shigella39649.png","USA",38,"cluster1"
"176","Escherichia_coli_Shigella40741.png","Argentina",1,"cluster1"
"177","Escherichia_coli_Shigella40741.png","Australia",2,"cluster1"
"178","Escherichia_coli_Shigella40741.png","Bolivia",1,"cluster1"
"179","Escherichia_coli_Shigella40741.png","Brazil",3,"cluster1"
"180","Escherichia_coli_Shigella40741.png","Canada",1,"cluster1"
"181","Escherichia_coli_Shigella40741.png","China",11,"cluster1"
"182","Escherichia_coli_Shigella40741.png","Denmark",1,"cluster1"
"183","Escherichia_coli_Shigella40741.png","Egypt",1,"cluster1"
"184","Escherichia_coli_Shigella40741.png","Japan",2,"cluster1"
"185","Escherichia_coli_Shigella40741.png","Mexico",1,"cluster1"
"186","Escherichia_coli_Shigella40741.png","Netherlands",2,"cluster1"
"187","Escherichia_coli_Shigella40741.png","NULL",13,"cluster1"
