Species,ID,B1,B2,betweenness,cherries,closeness,colless,DelW,I2,ILnumber,kurtosis,maxHeight,maxWidth,pitchforks,sackin,skewness,stairs1,stairs2,treeSize
Neisseria,2184,0.6454436126481202,0.5627952567166032,0.8799609374999999,0.5185185185185185,0.5471567267683773,0.1889240506329114,0.14814814814814814,0.6477924613553012,0.4936708860759494,8.13301521703091,0.275,0.19753086419753085,0.48148148148148145,0.2743975903614458,2.22638180311074,0.725,0.494420201196969,81
Neisseria,2266,0.7098657543562796,0.8334457706534828,0.8952546296296297,0.5405405405405406,0.7362924281984324,0.15873015873015872,0.21621621621621623,0.6136745001030715,0.4857142857142857,9.29082443317967,0.2777777777777778,0.32432432432432434,0.6486486486486486,0.33618233618233617,2.28579097671678,0.722222222222222,0.564999164818005,37
Neisseria,2303,0.6602514217392982,0.75548717509212715,0.9549280685644322,0.52,0.6705882352941176,0.09090909090909091,0.12,0.6110053779474857,0.4897959183673469,6.05809647068576,0.15151515151515152,0.28,0.42,0.1776589423648247,1.82426899878943,0.707070707070707,0.526783138216551,100
Neisseria,2413,0.6971477761002927,0.8043688588889629,0.9721708579881656,0.5660377358490566,0.6894977168949772,0.14404223227752638,0.1509433962264151,0.5955167925756156,0.45098039215686275,7.24315138367491,0.28846153846153844,0.33962264150943394,0.5094339622641509,0.279020979020979,1.8674469547469,0.692307692307692,0.55216961132513,53
Neisseria,2479,0.6309140576293333,0.688758791018075,0.8751461366776491,0.5306122448979592,0.578550724637681,0.13144329896907217,0.12244897959183673,0.6173942358386594,0.4791666666666667,7.68375161805727,0.24742268041237114,0.22448979591836735,0.3673469387755102,0.20989690721649484,1.93508177131761,0.701030927835051,0.498206655357585,98
Neisseria,2577,0.6214902974144255,0.7136497581652854,0.9932302515622495,0.5,0.7201112140871179,0.1314508276533593,0.1,0.6391610255955795,0.5128205128205128,13.2541793856672,0.21518987341772153,0.25,0.4125,0.22753936400123495,2.83243529060643,0.734177215189873,0.495352024323543,80
Neisseria,2706,0.6463483720060904,0.6615431898770479,0.9775,0.5494505494505495,0.671344165435746,0.13857677902621723,0.17582417582417584,0.6098451022739674,0.4606741573033708,6.01590509041072,0.2111111111111111,0.21978021978021978,0.32967032967032966,0.22293906810035843,1.83482902816659,0.688888888888889,0.513036858466593,91
Neisseria,2891,0.7109153340817933,0.8466923788863404,0.904074074074074,0.5652173913043478,0.7366336633663365,0.11818181818181818,0.2608695652173913,0.5583059008727455,0.45454545454545453,3.64914110029901,0.24444444444444444,0.391304347826087,0.45652173913043476,0.2824074074074074,1.15185785644848,0.688888888888889,0.586716719494497,46
Neisseria,2936,0.6448043306366247,0.7981368665680867,0.97236817414149,0.5135135135135135,0.6891495601173023,0.11339421613394216,0.16216216216216217,0.6196176696015444,0.5,12.9340198311354,0.2054794520547945,0.24324324324324326,0.44594594594594594,0.2198990627253064,2.72979525971813,0.726027397260274,0.51772051227562,74
Neisseria,3011,0.6397271699133328,0.6614141189232767,0.820142434829347,0.5161290322580645,0.5175276752767528,0.20928961748633879,0.06451612903225806,0.6341146584896583,0.5,7.8817303193196,0.3442622950819672,0.22580645161290322,0.48387096774193544,0.3212090163934426,2.22892911823539,0.704918032786885,0.508137201044731,62
Neisseria,3072,0.6474883859584302,0.7762030113284992,0.9360402249134948,0.4927536231884058,0.6898395721925132,0.11325724319578578,0.17391304347826086,0.6262058736830911,0.5223880597014925,5.17444357994019,0.19117647058823528,0.2898550724637681,0.4782608695652174,0.22866611433305717,1.65081028089263,0.735294117647059,0.522666098731425,69
Neisseria,3141,0.6603265055172496,0.5758590507297547,0.8897889417360286,0.5084745762711864,0.7586705202312127,0.16696914700544466,0.2711864406779661,0.6335829371179754,0.5087719298245614,6.31028315377516,0.2413793103448276,0.2711864406779661,0.45762711864406774,0.2849067269643867,2.08318961600774,0.741379310344828,0.522946464011026,59
Neisseria,3221,0.660175582768451,0.514939763303042,0.9491003460207612,0.5348837209302325,0.6515732924021491,0.1319327731092437,0.13953488372093023,0.5901550035938941,0.47619047619047616,7.52951231054425,0.2235294117647059,0.27906976744186046,0.41860465116279066,0.22647058823529412,2.1097674770555,0.705882352941177,0.533695049748137,86
Neisseria,3307,0.6744666811491715,0.47832062656972857,0.9225848046022614,0.5555555555555556,0.610215053763441,0.16297786720321933,0.1111111111111111,0.5784940800236071,0.45714285714285713,6.96166402146611,0.22535211267605634,0.2777777777777778,0.4166666666666667,0.27293490673772364,2.04772579558904,0.704225352112676,0.547077554478574,72
Neisseria,3390,0.6653916822588056,0.3651364997084593,0.9549489795918368,0.6197183098591549,0.6143250688705235,0.29233954451345756,0.11267605633802817,0.5810595859554073,0.391304347826087,27.9089270048526,0.37142857142857144,0.14084507042253522,0.3380281690140845,0.37651663405088065,4.39650824599166,0.671428571428571,0.511842277345063,71
Neisseria,3460,0.6716460971153538,0.7991468313078187,0.9094666666666666,0.5526315789473685,0.6366812227074234,0.11351351351351352,0.21052631578947367,0.5821552845300851,0.4594594594594595,6.92303559144599,0.21333333333333335,0.2631578947368421,0.4736842105263158,0.22393162393162394,1.96611914257281,0.693333333333333,0.55159613329293,76
Neisseria,3536,0.6246381895343182,0.5830412851135968,0.9473570812984775,0.6,0.5168431183830607,0.34424313267095263,0.13333333333333333,0.6048223297393551,0.41379310344827586,12.2473103351047,0.423728813559322,0.13333333333333333,0.15,0.4313832695462001,3.12657115779654,0.661016949152542,0.472579263683511,60
Neisseria,3596,0.691847970317806,0.727117025604177,0.9558452215629339,0.5555555555555556,0.6499999999999997,0.09805924412665985,0.13333333333333333,0.5968375525518897,0.45454545454545453,9.07179971577929,0.15730337078651685,0.26666666666666666,0.5333333333333333,0.19491939423546653,2.50642600703669,0.719101123595506,0.549825289020041,90
Neisseria,3685,0.6868136257959713,0.6228579131000404,0.980109778180172,0.6105263157894737,0.5970056144728632,0.1827956989247312,0.12631578947368421,0.5656588483808032,0.3978494623655914,6.47282942286505,0.24468085106382978,0.12631578947368421,0.3157894736842105,0.25860934415441983,1.73916335573956,0.638297872340426,0.537599275884732,95
